method	dataset	attributes	types	nb_attributes	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	nb_patterns	timespent	memory	finished
fssd	glass	['Fe']	['numeric']	1	class	3	0.0794392523364486	5	5	170	0.794392523364486	1.0	0.7766497461928934	0.016333304218709058	41	0.006000041961669922	0	True
naive	glass	['Fe']	['numeric']	1	class	3	0.0794392523364486	5	5	170	0.794392523364486	1.0	0.7766497461928934	0.016333304218709058	21	0.006000041961669922	0	True
fssd	glass	['Fe', 'Ba']	['numeric', 'numeric']	2	class	3	0.0794392523364486	5	4	141	0.6588785046728972	1.0	0.6294416243654822	0.027098436544676387	31	0.009999752044677734	0	True
naive	glass	['Fe', 'Ba']	['numeric', 'numeric']	2	class	3	0.0794392523364486	5	4	141	0.6588785046728972	1.0	0.6294416243654822	0.027098436544676387	25	0.010000228881835938	0	True
fssd	glass	['Fe', 'Ba', 'K']	['numeric', 'numeric', 'numeric']	3	class	3	0.0794392523364486	5	1	124	0.5794392523364486	0.9411764705882353	0.5482233502538071	0.02873613416018866	162	0.019999980926513672	0	True
naive	glass	['Fe', 'Ba', 'K']	['numeric', 'numeric', 'numeric']	3	class	3	0.0794392523364486	5	1	124	0.5794392523364486	0.9411764705882353	0.5482233502538071	0.02873613416018866	229	0.029999971389770508	0	True
fssd	glass	['Fe', 'Ba', 'K', 'Mg', 'Al']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	3	0.0794392523364486	5	2	82	0.38317757009345793	1.0	0.3299492385786802	0.048999912656127166	855	0.12000012397766113	0	True
naive	glass	['Fe', 'Ba', 'K', 'Mg', 'Al']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5	class	3	0.0794392523364486	5	2	82	0.38317757009345793	1.0	0.3299492385786802	0.048999912656127166	2988	0.4219999313354492	0	True
fssd	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	3	0.0794392523364486	5	1	48	0.22429906542056074	1.0	0.15736040609137056	0.06162110227967507	235	0.10500001907348633	0	True
naive	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8	class	3	0.0794392523364486	5	1	48	0.22429906542056074	1.0	0.15736040609137056	0.06162110227967507	20355	5.170000076293945	0	True
fssd	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca', 'RI', 'Id']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10	class	3	0.0794392523364486	5	1	17	0.0794392523364486	1.0	0.0	0.07312865752467464	13	0.11499977111816406	0	True
naive	glass	['Fe', 'Ba', 'K', 'Mg', 'Al', 'Si', 'Na', 'Ca', 'RI', 'Id']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10	class	3	0.0794392523364486	5	1	17	0.0794392523364486	1.0	0.0	0.07312865752467464	37372	13.123000144958496	0	True
